Source,Content,Codes
Harju-Seppänen-2022-10.1093_schizbullopen_sgab.pdf,"Notably, preadolescents have been shown to have several perceptual and reasoning differences that alter and stabilize during adolescence, potentially suggesting other mechanisms that might generate PLEs.
",Findings
Harju-Seppänen-2022-10.1093_schizbullopen_sgab.pdf,"Based on current findings, we hypothesize that PLEs in preadolescence may be generated by delayed development of perceptual and causal reasoning. Speculatively, the presence of childhood adversity might impact the typical developmental trajectory of perceptual and causal reasoning systems, meaning that greater numbers of PLEs largely reflect developmental delay in these systems rather than dysregulation of striatal dopamine at this age.
",Findings
Harju-Seppänen-2022-10.1093_schizbullopen_sgab.pdf,"In conclusion, we found no reliable evidence that the presence of PLEs in a large and well-powered sample predicted dysregulated reward processing.
",Findings
Harkness-2024-10.1007_s10803-024-06275-9.pdf,"9.01 and 10.99
",Participant Age
Harkness-2024-10.1007_s10803-024-06275-9.pdf,"Participants were excluded if they did not have complete data (n=1701), or if they had co-occurring Autism and ADHD (n=71).
",Participant
Harkness-2024-10.1007_s10803-024-06275-9.pdf,"diagnostic status
",Independent Variable
Harkness-2024-10.1007_s10803-024-06275-9.pdf,"children’s scores on measures of attention
",Dependent Variable
Harkness-2024-10.1007_s10803-024-06275-9.pdf,"EF
",Dependent Variable
Harkness-2024-10.1007_s10803-024-06275-9.pdf,"ADHD diagnosis was determined from the Kiddie Score for Afective Disorders and Schizophrenia (KSADS) and Autism diagnosis was extracted from the parent reported ABCD Screening Form. Based on this data three diagnostic groups were classifed: Autism only, ADHD only, and no Autism or ADHD (controls).
",IV Supporting Info
Harkness-2024-10.1007_s10803-024-06275-9.pdf,"The Child Behavior Checklist (CBCL/6–18) is a parent report questionnaire that assesses multiple dimensions of problem behaviors in children and youth (Achenbach & Rescorla, 2001) and is completed by a caregiver (i.e., indirect assessment of child behavior). We included six subscores for analyses here: attention problems, social problems, somatic problems, thought problems, internalizing behaviors, and externalizing behaviors (Rey et al., 1992).
",DV Supporting Info
Harkness-2024-10.1007_s10803-024-06275-9.pdf,"The Brief Problem Monitoring Report Teacher Report (BPMT) is an indirect assessment of problem behaviors completed by an individual’s teacher (Piper et al., 2014).
Attention problems, internalizing, and externalizing component scores were included here. This scale is validated for school aged children (6–18 years old) and is a brief report (18 questions) designed to be completed in 1–2 min (Piper et al., 2014). The inclusion of this teacher report ensured that more than one indirect rating of behavior was included in models. Similar to the CBCL, higher scores indicate more problem behaviors; therefore, scores were multiplied by − 1 to align with other measures. Clinical cut ofs for the BPMT are defned by t scores greater than or equal to 70.
",DV Supporting Info
Harkness-2024-10.1007_s10803-024-06275-9.pdf,"In this study we included the Flanker assessment, list sorting working memory test, dimensional card sorting test, pattern comparison processing speed test, picture vocabulary test, and oral recognition test (described in Table 1). Clinical cut ofs were defned by scores less than 2 standard deviations below the mean as calculated based on all available individuals within the assessment (supplementary Table 2).
",DV Supporting Info
Harkness-2024-10.1007_s10803-024-06275-9.pdf,"It is designed to be completed in 6–8 min and is scored on several metrics; for this study, we included percentage of correct answers (Luciana et al., 2018). Higher scores on these assessments indicate better ability. Clinical cut ofs were defned by scores less than 2 standard deviations below the mean as calculated based on all available individuals within the assessment (supplementary Table 2).
",DV Supporting Info
Harkness-2024-10.1007_s10803-024-06275-9.pdf,"ridge regression
",Statistical Model
Harkness-2024-10.1007_s10803-024-06275-9.pdf,"age
",Covariate
Harkness-2024-10.1007_s10803-024-06275-9.pdf,"sex
",Covariate
Harkness-2024-10.1007_s10803-024-06275-9.pdf,"site
",Covariate
Harkness-2024-10.1007_s10803-024-06275-9.pdf,"parental education
",Covariate
Harkness-2024-10.1007_s10803-024-06275-9.pdf,"assessment measure scores
",Covariate
Harkness-2024-10.1007_s10803-024-06275-9.pdf,"N=10,008
",Sample Size
Harkness-2024-10.1007_s10803-024-06275-9.pdf,"This study investigated if attention and EF scores from a comprehensive set of direct and indirect multi-informant assessments were associated with the diagnosis of Autism or ADHD. In general, we found greater contribution of indirect measures to diagnosis in all models, specifcally the CBCL, and the BPMT in models where it was included. The only exceptions were biological sex and the Little Man Task, which were included in the top fve components in all four models. The odds of being diagnosed with ADHD or Autism were signifcant when the clinical cutof on the measures were used, particularly in indirect assessments (CBCL and BPMT). In the group with ADHD the odds ratios for all of the indirect components were signifcant after correction for multiple comparisons.
",Findings
Harkness-2024-10.1007_s10803-024-06275-9.pdf,"The odds of an association between poorer performance on the short and long delay of the RAVLT and a diagnosis were signifcant for both Autism and ADHD, whereas on the Matrix Reasoning task the odds of an association were signifcant only for ADHD. No task from the NIH toolbox was associated with a diagnosis of either ADHD or Autism.
",Findings
Harkness-2024-10.1007_s10803-024-06275-9.pdf,"Within the ridge regressions internalizing and externalizing problems from the CBCL had opposite signs of coeffcients between models including Autism or ADHD. Within the Autism model, internalizing problems were positively associated with a diagnosis while externalizing problems were negatively associated with diagnosis. This was reversed with the ADHD model.
",Findings
Harkness-2024-10.1007_s10803-024-06275-9.pdf,"In general, the scores on attention and EF assessments scores had greater diferences between the ADHD group and the control group than between individuals with ASD and controls. Further, the ADHD group had more signifcant odds ratios when trying to use these types of assessments to predict diagnosis of Autism and ADHD
",Findings
Harkness-2024-10.1007_s10803-024-06275-9.pdf,"However, there is wide range of performance on direct measurement of these skills within groups and there is limited association with diagnosis. Therefore, assessment of executive function should be individualized and reported separate from diagnosis, rather than considered supportive or associated with Autism or ADHD diagnosis.
",Findings
Harkness-2024-10.1007_s10803-024-06275-9.pdf,"This study concluded that there were diferences in the contribution of attention and EF assessment components within diferent diagnostic groups, with generally, increased relative contribution from indirect measures in the ridge regression when compared to direct measures. We found that indirect measures of attention and EF were more highly associated with a diagnosis of Autism and ADHD. Further, they had higher odds ratios of an association with the clinical cut-of for a diagnosis of Autism or ADHD. These fndings support the utility of indirect measures of assessment in differentiating between individuals with and without Autism and ADHD. Models for ADHD had higher R^2 values than models for Autism, indicating that more variability was accounted for within the ADHD model than the Autism model. Further, odds ratios were higher in the ADHD model compared to the Autism model. There was increased sensitivity of these assessment measures to detect impairments associated with an ADHD diagnosis, compared to an Autism diagnosis, highlighting the increased difculty of characterizing Autism.
",Findings
Harkness-2024-10.1016_j.ridd.2024.104691.pdf,"9 and 10 years old.
",Participant Age
Harkness-2024-10.1016_j.ridd.2024.104691.pdf,"stimulant condition
",Independent Variable
Harkness-2024-10.1016_j.ridd.2024.104691.pdf,". Individuals were included in this study if they were between the age of 6 and 18 years, had available imaging data (resting state fMRI and T1), information about stimulant medication use and washout status, and diagnostic information (i.e., confirmation of Autism, ADHD, or neither diagnosis). In addition to exclusion for missing data, individuals were excluded if they had a diagnosis of schizophrenia, psychosis, or a substance use disorder.
",Participant
Harkness-2024-10.1016_j.ridd.2024.104691.pdf,"baseline
",ABCD Time Point
Harkness-2024-10.1016_j.ridd.2024.104691.pdf,"12,166 participants.
",Sample Size
Harkness-2024-10.1016_j.ridd.2024.104691.pdf,"general linear models (GLMs)
",Statistical Model
Harkness-2024-10.1016_j.ridd.2024.104691.pdf,"Autism
",Additional Variable
Harkness-2024-10.1016_j.ridd.2024.104691.pdf,"ADHD
",Additional Variable
Harkness-2024-10.1016_j.ridd.2024.104691.pdf,"differences in network connectivity
",Dependent Variable
Harkness-2024-10.1016_j.ridd.2024.104691.pdf,"age
",Covariate
Harkness-2024-10.1016_j.ridd.2024.104691.pdf,"sex
",Covariate
Harkness-2024-10.1016_j.ridd.2024.104691.pdf,"site
",Covariate
Harkness-2024-10.1016_j.ridd.2024.104691.pdf,"scan length
",Covariate
Harkness-2024-10.1016_j.ridd.2024.104691.pdf,"head motion
",Covariate
Harkness-2024-10.1016_j.ridd.2024.104691.pdf,". In the ABCD database, washout status was not explicitly stated and was therefore determined based on the parent-reported two-week medication use (the Parent Medication Survey Inventory) and the 24-hour medication use (Youth Participant Last Use Survey), washout status was reported within ABIDE. We included additional categories for anti-depressants and anti-anxiolytics (norepinephrine-dopamine reuptake inhibitors (NDRIs), selective serotonin reuptake inhibitors (SSRIs), and selective norepinephrine reuptake inhibitors (SNRIs)), anticonvulsants, antipsychotics, alpha2 agonists, and other to describe the study groups and possible confounds (Table 1). In the ABIDE database, stimulant condition was reported explicitly.
",IV Supporting Info
Harkness-2024-10.1016_j.ridd.2024.104691.pdf,"For each individual, time courses for pairs of parcels in the DMN (22 parcels) and FPN (26 parcels) were Pearson correlated to obtain connectivity matrices. Given that data from multiple sites was used, we employed ComBat [License: Artistic-2.0] (Yu et al., 2018) to mediate non-biological FC variation related to the site. ComBat uses a multivariate mixed effect model to identify and regress out site effects and has been shown to effectively correct for site effects in multisite functional connectivity studies (Yu et al., 2018). All individual connectivity matrices and participant characteristics (age, diagnosis, stimulant status, sex, scan length, movement, and site) were utilized for the ComBat model.
To assess FC within and between the DMN and FPN, we calculated interconnectivity between the networks and intraconnectivity within each network. Intraconnectivity was determined for each individual by averaging the correlation values between all regions within the same network; first for all regions in the DMN, then for all regions in the FPN. Interconnectivity was calculated for each individual by averaging the correlation values between all regions in the DMN and all regions in the FPN
",DV Supporting Info
Harkness-2024-10.1016_j.ridd.2024.104691.pdf,"We found no significant differences in connectivity between the stimulant washout status within all connectivity and diagnostic groups. Additionally, we also found no significant differences in connectivity between diagnosis within all stimulant washout status and connectivity groups.
",Findings
Harkness-2024-10.1016_j.ridd.2024.104691.pdf,"These results suggest that further studies investigating connectivity changes with use of stimulant medication and washout after chronic administration are required (Kaiser et al., 2022; Mueller et al., 2014; Silk et al., 2017). Our study does not support or refute using a stimulant washout period to mitigate medication confounds in studies investigating differences in functional connectivity related to diagnoses.
",Findings
Harkness-2024-10.1016_j.ridd.2024.104691.pdf,"Within the analysis assessing stimulant condition within diagnosis, there were no significant effects of age (although some come close to significance), however, in analysis between diagnostic status within stimulant condition age was significant, particularly within interconnectivity in both off stimulant, and washout groups. This suggests that there should be future work assessing the differential effects of stimulant medication on individuals of different ages, including the amount of time on medication, and age of onset of medication, particularly when it comes to connectivity between the DMN and FPN. This would allow for better understanding of the long-term effects of stimulant medication on FC, which given the number of individuals on psychostimulants, could present significant confounds to neuroimaging studies in neurodivergent populations.

",Findings
Harkness-2024-10.1016_j.ridd.2024.104691.pdf,"This study found no significant differences in functional connectivity within and between the DMN and FPN either between stimulant conditions or between diagnostic groups. Further investigation is required to determine if stimulant washout ameliorates the effect of stimulants on brain networks and to support its use in functional neuroimaging studies.
",Findings
Harkness-2026-10.1177_10870547261419585.pdf,"release 4.0
",ABCD Release
Harkness-2026-10.1177_10870547261419585.pdf,"FC measures
",Independent Variable
Harkness-2026-10.1177_10870547261419585.pdf,"Flanker scores
",Dependent Variable
Harkness-2026-10.1177_10870547261419585.pdf,"ADHD diagnosis
",Additional Variable
Harkness-2026-10.1177_10870547261419585.pdf,"age
",Covariate
Harkness-2026-10.1177_10870547261419585.pdf,"sex
",Covariate
Harkness-2026-10.1177_10870547261419585.pdf,"parental education
",Covariate
Harkness-2026-10.1177_10870547261419585.pdf,"in-scanner movement
",Covariate
Harkness-2026-10.1177_10870547261419585.pdf,"site
",Covariate
Harkness-2026-10.1177_10870547261419585.pdf,"family group
",Covariate
Harkness-2026-10.1177_10870547261419585.pdf,"Interconnectivity was calculated by averaging the correlation from each region in one network to every other region in the other network.
Intraconnectivity was calculated by averaging all the correlations within one network. This resulted in the upper triangle of a 12×12 connectivity matrix, which was used in all subsequent analyses.
",IV Supporting Info
Harkness-2026-10.1177_10870547261419585.pdf,"In addition to database exclusion criteria (Karcher & Barch, 2021), we excluded individuals with substance abuse disorder (n=412) and schizophrenia (n=25) due to known differences in FC (Yang et al., 2022; Zhang & Volkow, 2019), and autism (n=94) due to a lack of independent diagnostic confirmation.
Participants with less than 10mins of retained fMRI data (n=1,568; following motion exclusion; details below) were also excluded.
",Participant
Harkness-2026-10.1177_10870547261419585.pdf,"Flanker scores are determined based on the number of correct trials (only including the first 20 trails from each block to account for fatigue) combined with reaction time when accuracy is above 80% to produce final scores (Luciana et al., 2018; Zelazo et al., 2013). Uncorrected standard scores were used for this analysis, with no correction for age or sex.
",DV Supporting Info
Harkness-2026-10.1177_10870547261419585.pdf,"9–10years old
",Participant Age
Harkness-2026-10.1177_10870547261419585.pdf,"7,030",Sample Size
Harkness-2026-10.1177_10870547261419585.pdf,"baseline
",ABCD Time Point
Harkness-2026-10.1177_10870547261419585.pdf,"linear mixed effects models
",Statistical Model
Harkness-2026-10.1177_10870547261419585.pdf,"We aimed to analyse if the relationship between inhibitory attention and FC was altered in children with an ADHD diagnosis compared to those without. In a large sample from the ABCD database, we found that network-level FC is significantly associated with both inhibitory attention and ADHD diagnosis but not the interaction between the two.
This supports the hypothesis that neural correlates of inhibitory attention abilities in ADHD lie along a spectrum that includes typical development (Vandewouw et al., 2023).
More specifically, it supports the hypothesis that there is a spectrum of inhibitory attention ability with similar neural correlates in children with or without an ADHD diagnosis giving evidence to support the ability to assess cognitive traits across diagnostic groups (Kelly et al., 2008). Lack of spatial congruence in FC patterns associated with inhibitory attention and diagnosis may also suggest that FC difference in individuals with and without ADHD could be driven by differences related to processes other than inhibitory control of attention.
",Findings
Harkness-2026-10.1177_10870547261419585.pdf,"Our finding that the relationship between FC and inhibitory attention is not impacted by diagnostic status is discordant with some prior work.
",Findings
Harkness-2026-10.1177_10870547261419585.pdf,"Our analysis identified a number of networks associated with Flanker scores, with connections involving the retrosplenial-temporal and the sensorimotor mouth networks being the most significant. We found some network connections that were consistent with the literature including contribution from the dorsal attention and the fronto-parietal networks (Visintin et al., 2015); however, the salience network was not significant, despite reported associations with inhibitory attention in the literature (Cai et al., 2021; Kelly et al., 2008).
",Findings
Harkness-2026-10.1177_10870547261419585.pdf,"ADHD diagnostic status was associated primarily with FC involving the ventral attention, and auditory networks, but also the salience and cingulo-opercular networks. In previous literature, associations between resting state FC and ADHD diagnosis have shown very inconsistent results with meta-analysis showing no consistency (Cortese et al., 2021). We found that salience and ventral attention networks, which have previously been associated with inhibitory attention (Kelly et al., 2008), were associated with ADHD diagnosis despite lack of association with inhibitory attention.
",Findings
Harkness-2026-10.1177_10870547261419585.pdf,"ectivity while they maintained a finer grained parcellation. In the present analysis we elected to use network level connectivity which could explain why we were able to find significant results given the summary nature of the metric.
Investigating network associations with a composite ADHD symptom severity score could result in associations with networks widely distributed throughout the brain, perhaps representing different symptoms or traits. When associations are drawn with diagnostic categories, small effects that are associated with traits that are variable in the different groups may not be detectable. By studying the FC associations with specific symptoms or cognitive impairment measures, we can improve our understanding of the different brain networks that contribute to outcomes in individuals.
",Findings
Harkness-2026-10.1177_10870547261419585.pdf,"We found no overlap in the networks associated with inhibitory attention and ADHD diagnosis. This suggests that differences in FC in children with ADHD are influenced by factors other than inhibitory attention ability. FC differences between groups could be due to other impairments or traits (Posner et al., 2016; Rosenberg et al., 2017) or they could be attributed to different environments or exposures (e.g., socioeconomic status) that differentially affect children with ADHD (Ellwood-Lowe et al., 2021).
",Findings
Harkness-2026-10.1177_10870547261419585.pdf,"We demonstrated no significant interaction between inhibitory attention and ADHD diagnostic status in predicting FC. By showing lack of significant interaction, this work suggests that analysis evaluating the relationship between FC and inhibitory attention can be performed independent of ADHD diagnosis to evaluate the full spectrum of ability, including those with a deficit.
This has implications for understanding of the full spectrum of inhibitory attention ability, as well as the brain correlates of ADHD diagnostic features.
",Findings
Harman-2021-10.1371_journal.pone.0252114.pdf,"Release 2.0
",ABCD Release
Harman-2021-10.1371_journal.pone.0252114.pdf,"11,369",Sample Size
Harman-2021-10.1371_journal.pone.0252114.pdf,"Participants were excluded from the present analysis if they were missing �15% of features used as input (S1 Table in S1 File).
",Participant
Harman-2021-10.1371_journal.pone.0252114.pdf,"logistic regression
",Statistical Model
Harman-2021-10.1371_journal.pone.0252114.pdf,"child and adolescent SI/SA
",Dependent Variable
Harman-2021-10.1371_journal.pone.0252114.pdf,"implicated risk factors
",Independent Variable
Harman-2021-10.1371_journal.pone.0252114.pdf,"This set of inputs included a mix of both item-level and summary score data from each of the following assessment domains: demographics [26], neurocognitive assessments [27], mental and physical health measures [26, 28], and culture/ environmental variables [29] (S1 Table in S1 File). To maximize the accessibility of transdiagnostic risk assessment across a variety of settings, diagnostic items from the K-SADS-PL, DSM-5 were generally not included as predictors. Only two features were retained from this measure, as they were uncollected elsewhere, which included questions regarding sexual orientation and experiences of trauma. Features missing �15% of observations were removed from the dataset, as were participants missing �15% of the input features. The remaining missingness was imputed using random forests from the R package randomForestSRC [30].
",IV Supporting Info
Harman-2021-10.1371_journal.pone.0252114.pdf,"Based on either caregiver or child endorsements on the Kiddie Schedule for Affective Disorders and Schizophrenia–Present and Lifetime Version using Diagnostic and Statistical Manual of Mental Disorders (Fifth Edition) criteria (K-SADS-PL, DSM-5, computerized) [17], participants were classified as controls (n = 10,060), having active suicidal ideation but no history of or current attempts (SI; n = 1,116), or having attempted suicide (SA/SI; n = 193). Neither endorsements of passive suicidal ideation (i.e., current or previous wish to be dead, or belief that they would be better off dead) nor self-injurious behavior in the absence of suicidal intent (i.e., current or previous engagement in purposeful behaviors to experience physical injury for reasons other than dying by suicide) were included in this study. Although sometimes related to risk for suicidality [18], nonsuicidal self-injury (NSSI) is thought to be a distinct condition with different etiology from suicidality [19]. Likewise, passive suicidal ideation may be distinct from active suicidality, and could reflect development surrounding the concept of death in this age group [20].
",DV Supporting Info
Harman-2021-10.1371_journal.pone.0252114.pdf,"Capitalizing on the rich data collection and large sample size of the ABCD Study, this study trained a series of predictive models, using previously implicated risk features for STBs among adolescent and adult populations, to examine whether it is possible to distinguish children endorsing SI or SI/SA from controls. Overall, we found that logistic regression with feature selection and elastic net regression without feature selection emerged as top-performing models for classifying SI participants from controls. Moreover, we were able to use the logic derived from models trained to classify children with SI alone to a holdout test set of children with concomitant SI and SA with substantially improved performance. These results reaffirm collective concern about the emergence of STBs in young children, and also demonstrate the ability to distinguish vulnerable children using a set of items from questionnaires that can be administered easily without the need for a full diagnostic interview.
",Findings
Harman-2021-10.1371_journal.pone.0252114.pdf,"The important features identified by the Boruta feature selection algorithm were also determined to be significant by logistic regression and align with prior literature [4, 36]. Several prominent ideation-to-action theories of suicide, such as the interpersonal theory of suicide, posit that a combination of thwarted belongingness (i.e., feelings of being alone without any support) and perceived burdensomeness (i.e., feelings of being a burden to others) are core motivators for suicidal ideation [37, 38]. In the present study, we found that feelings of loneliness, or of worthlessness and inferiority, were among the most important features for classifying children with SI from controls, which aligns well with the concepts of thwarted belongingness and perceived burdensomeness. In addition, we found negative urgency and impulsivity to also be important features, which may suggest that a propensity to act without forethought helps delineate pre-adolescent children with STBs from controls.
",Findings
Harman-2021-10.1371_journal.pone.0252114.pdf,"By employing a series of ML approaches that are optimally suited to handle high-dimensional data, we have been able to investigate a substantially larger number of potentially predictive features than previous studies examining STBs in the ABCD sample [9, 10]. For example, while both internalizing and externalizing composite scores from the Child Behavior Checklist [41] were found to be significantly associated with suicidality in prior work [9, 10], our approach allows for item-level decomposition of this measure.
",Findings
Harman-2021-10.1371_journal.pone.0252114.pdf,"Furthermore, among the feature set we utilized were variables related to prodromal psychosis symptoms, which have been previously unstudied with respect to STBs in the ABCD sample.
",Findings
Harman-2021-10.1371_journal.pone.0252114.pdf,"Importantly, this study demonstrated that logic built to classify individuals with only SI from controls holds true for classifying a holdout set of individuals with both SI and SA with improved performance. Not only does this serve as an internal replication of our findings, but it also suggests that these features are particularly relevant for distinguishing individuals with concomitant SI and SA from controls, as evidenced by the improvement in AUC. Additionally, this approach holds promise for developing new methods of risk assessment. Future work should aim to clarify which features differentially predict SI and SA to understand the transition from ideation to action.
",Findings
Harman-2021-10.1371_journal.pone.0252114.pdf,"In conclusion, this study provides evidence for the ability to identify children between the ages of 9 and 10 endorsing SI from healthy controls, as well as those with concomitant SI and SA from healthy controls. Furthermore, many of the features identified as important from these models have been previously implicated in risk for SI and SA among older adolescent and adult populations, including feelings of loneliness and worthlessness, impulsivity, prodromal psychosis symptoms, and behavioral problems.
",Findings
Harnett-2024-10.1038_s42003-024-06436-7.pdf,6029,Sample Size
Harnett-2024-10.1038_s42003-024-06436-7.pdf,"4.0 release
",ABCD Release
Harnett-2024-10.1038_s42003-024-06436-7.pdf,"two-year follow-up data f
",ABCD Time Point
Harnett-2024-10.1038_s42003-024-06436-7.pdf,"M = 11.94
",Participant Age
Harnett-2024-10.1038_s42003-024-06436-7.pdf,"parallel mediation analyses
",Statistical Model
Harnett-2024-10.1038_s42003-024-06436-7.pdf,"age
",Covariate
Harnett-2024-10.1038_s42003-024-06436-7.pdf,"sex
",Covariate
Harnett-2024-10.1038_s42003-024-06436-7.pdf,"threat neurocircuitry
",Dependent Variable
Harnett-2024-10.1038_s42003-024-06436-7.pdf,"race
",Independent Variable
Harnett-2024-10.1038_s42003-024-06436-7.pdf,"income
",Additional Variable
Harnett-2024-10.1038_s42003-024-06436-7.pdf,"discrimination
",Additional Variable
Harnett-2024-10.1038_s42003-024-06436-7.pdf,"ADI
",Additional Variable
Harnett-2024-10.1038_s42003-024-06436-7.pdf,"state-level racism
",Additional Variable
Harnett-2024-10.1038_s42003-024-06436-7.pdf,"The present manuscript was primarily focused on differences in threat neurocircuitry between Black and white participants in the US. Racial group was reported by parents at the initial visit. Parents selected from 16 options (e.g., white, Black/African-American, Alaska Native, etc.) with multiple selections allowed (NDA: pdem02). We selected participants whose parents identified their child as only Black or white. Ethnicity was not exclusionary in the present analysis to maintain representation of Hispanic/Latinx white and Black children. Normative models(described below) were applied to all participants and outcome measures were retained in analyses only for participants of interest.
",IV Supporting Info
Harnett-2024-10.1038_s42003-024-06436-7.pdf,"Structural MRI data were collected across the 21 sites on Siemens Prisma, General Electric 750, and Philips 3-T scanners, using prospective motion correction when available. Detailed information on imaging protocols, parameters, and processing of the structural imaging data has been published elsewhere63,64. Briefly, structural MRI (T1- weighted and T2-weighted) data were preprocessed by the ABCD team using FreeSurfer, version 5.3.0 (https://surfer.nmr.mgh.harvard.edu).
Images were corrected for gradient nonlinearity distortions, intensity inhomogeneities, and head motion and resampled into alignment with an averaged reference brain. The cortical surface was then reconstructed, and subcortical regions of the brain were segmented. To harmonize with prior normative modeling approaches24–26, cortical thickness of a priori regions of threat neurocircuitry were selected from the Destrieux parcellation and gray matter volume for the amygdala and hippocampus were extracted from anatomic segmentation (NDA: abcd_mrisdo10201 & abcd_asmrip10201). Specific regions (n = 31) selected for analysis that covered the PFC, amygdala, hippocampus, and insula for the left and right hemisphere separately are listed in the supplement (Table S1).
Participants whose MRI data failed T1 quality-control checks (NDA: mriqcrp10301) were excluded from the analyses. In total, gray matter volumes of 114 regions of interest were included in the statistical analyses.
",DV Supporting Info
Harnett-2024-10.1038_s42003-024-06436-7.pdf,"Here, we investigated associations between race-related stressors and cortical thickness in threat neurocircuitry that support emotional processes and trauma-related disorders. Race-related differences were observed in several areas of threat neurocircuitry including the dorsal ACC, dorsolateral PFC, hippocampus, and amygdala.
",Findings
Harnett-2024-10.1038_s42003-024-06436-7.pdf,"Importantly, when using normative models, we continued to observe race-related and socioeconomic-related variability in cortical thickness with some effects being larger and more diffuse across threat neurocircuitry. Together, the present study highlights that racial inequities contribute to race-related variability in cortical development and the choice of reference population impacts whether or not such effects are observable.
",Findings
Harnett-2024-10.1038_s42003-024-06436-7.pdf,"Income and neighborhood disadvantage (i.e., ADI) were associated with cortical thickness with and without adjusting for recruitment site in the present analyses.
",Findings
Harnett-2024-10.1038_s42003-024-06436-7.pdf,"We also observed that youth discrimination was significantly associated with amygdala volume.
",Findings
Harnett-2024-10.1038_s42003-024-06436-7.pdf,"As neighborhood disadvantage partially represents unsafe and stressful environments, it may be that greater neighborhood disadvantage during development contributes to a heightened vigilance to potential threats in the environment via modulation of amygdala-salience network structure and function. The enhanced threat detection may ultimately be beneficial and serve to regulate (i.e., diminish) the emotional response to threat by increasing anticipatory processes (e.g., conditioned diminution)7,16. Future work is needed to determine if the functional architecture of Black and white children in the ABCD and other studies show neighborhood disadvantage-related shifts and if these are exacerbated by chronic exposure to such adversities.
",Findings
Harnett-2024-10.1038_s42003-024-06436-7.pdf,"It is somewhat surprising, given the present findings and prior literature on discrimination, that state-level racism in the present sample was more robustly associated with cortical thickness compared to discrimination.
",Findings
Harnett-2024-10.1038_s42003-024-06436-7.pdf,"Parallel mediation models revealed that variability in cortical thickness within threat neurocircuitry between Black and white adolescents was accounted for by inequities in individual and neighborhood level factors.
Further, we observed several complete mediations of race-related differences (significant total and indirect, but not direct, paths) in subregions of the dorsolateral and ventrolateral PFC as well as the insula. Although the percentage of race-related effects was not 100% for each region, the appearance of residual race-related variance is unsurprising given the selection of factors used in the present analysis. The income and neighborhood level factors are fairly coarse snapshots of individuals’ lived experience that may notfully capture important nuances such as the severity or chronicity of other events tied to these factors.
",Findings
Harnett-2024-10.1038_s42003-024-06436-7.pdf,"In the present study, parts of the insular and orbital sulci showed percentages of the total effect mediated by individual and neighborhood factors over 100% (i.e., ab path greater than the total effect) suggesting there are likely interactions (i.e., non-linear associations) among the variables related to race-related differences in neurobiology. Similar results were obtained when using the z-scored deviations from the population-level normative models, though we also observed more instances of inconsistent mediation and suppression effects again in insular and orbital regions (e.g., negative percent mediated) (Table S11).
",Findings
Harnett-2024-10.1038_s42003-024-06436-7.pdf,"The findings may suggest that, within these regions, race-related variability is larger once accounting for inequities and such an effect may again be driven by unaccounted for third variables, though the specific mechanism is not clear.
Therefore, further consideration of how race-related stressors interact over time may lead to increased understanding of how race-related variability in brain development manifests.
",Findings
Harnett-2024-10.1038_s42003-024-06436-7.pdf,"The present findings highlight that modeling choice plays a significant role in whether associations with race or socioeconomic-related variability with neural structure are observable. Inclusion of site as a factor in general linear models led to fewer associations between cortical thickness and race, income, ADI, and state-level racism. Participants across each recruitment site differed in each of the assessed individual and neighborhood level factors. Further, state-level racism was highly collinear with the site variable (R2 = 0.99) suggesting similar information may be captured for both measures and lowering the unique variance of either variable in the models. The multicollinearity highlights an important problem with site-wise adjustments in neuroimaging investigations in that the presumed “noise” of between site variance may capture important sociodemographic factors of interest.
",Findings
Harnett-2024-10.1038_s42003-024-06436-7.pdf,"site
",Covariate
Harnett-2024-10.1038_s42003-024-06436-7.pdf,"Although accounting for site within linear models reduced the appearance of race-related differences in cortical thickness, race- and socioeconomic-related differences were largely maintained when using deviations derived from the normative models. The findings suggest that the normative modeling approach may be effective at accounting for site variance while preserving collinear effects related to important sociodemographic factors. The findings from the population-level normative model may also indicate that differences between white and Black children in cortical thickness are not very large relative to the global population.
Indeed, standardized estimates from the mediation models indicate the total magnitude of the race-related effects to be relatively minor ( < 1/5 of a standard deviation). Such an interpretation is consistent with the fact that race has little biological meaning and re-emphasizes that neural differences between racial groups are minor. However, subsequent models tested within racial group (i.e., only in white or in Black participants) revealed mixed – and somewhat surprising - effects in terms of associations between cortical thickness and socioeconomic factors. For example, the association between cortical thickness and state-level racism was largely driven by associations observed in white participants.
",Findings
Harnett-2024-10.1038_s42003-024-06436-7.pdf,"In conclusion, race-related variability in cortical thickness of threat neurocircuitry during early adolescence is due – in part – to inequities in individual and society-level factors of economic resources and racial prejudice. Although race-related variability is apparent regardless of geographical location in the sample, model choice plays a role in the strength of associations observed between race/socioeconomic factors and cortical thickness. However, the normative models revealed associations between cortical thickness and sociodemographic factors independently that were stronger than those observed when covarying for site. Thus, populationbased norming may be a useful approach for quantifying sociodemographic variability within samples that are critical to our understanding of neural development and psychopathology.
",Findings
Hawes-2020-10.1017_s0033291719000278.pdf,"initial ABCD data release
",ABCD Release
Hawes-2020-10.1017_s0033291719000278.pdf,"baseline
",ABCD Time Point
Hawes-2020-10.1017_s0033291719000278.pdf,"The sample used for the present analyses included participants who completed their baseline assessment
",Participant
Hawes-2020-10.1017_s0033291719000278.pdf,"9 to 10-years-old
",Participant Age
Hawes-2020-10.1017_s0033291719000278.pdf,4524,Sample Size
